n,tipo,empresa,programa,materialidad_textual,materialidad_categoria,superficie_base_m2,superficie_ampliada_m2,pisos,alcance,url_ficha,observaciones
11,"Vivienda Rural Santa Magdalena","Santa Magdalena","DS10/2015","Perfil Acero Plegado","acero","60,51","73,57","sin dato","(N) nacional","https://www.minvu.gob.cl/wp-content/uploads/2025/10/11-Ficha-SANTA-MAGDALENA-RURAL-2025.pdf","No trae frase de portada de materialidad; 'Perfil Acero Plegado' tomado de la tabla (descuadrada por el PDF de dos columnas). CONFIRMAR. Programa: D.S. 10 (Rural)."
12,"Vivienda Base / Ampliada (Santa Magdalena)","Santa Magdalena","DS49/2011","Perfil Acero Plegado","acero","50,63","61,74","2","(N) nacional","https://www.minvu.gob.cl/wp-content/uploads/2025/10/12-Ficha-SANTA-MAGDALENA-2025.pdf","'Perfil Acero Plegado' tomado de la tabla (campo Materialidad/Terminaciones descuadrado por el PDF); sin frase de portada. CONFIRMAR. pisos = Nivel 1 + Nivel 2."
13,"Tipo Valle Verde (Sistema Baumax)","Baumax SPA","DS49/2011","Sistema constructivo en base a muros y losas de hormigón prefabricado. (Materialidad: Hormigón Armado)","hormigón","56,22","sin dato","sin dato","(N) nacional","https://www.minvu.gob.cl/wp-content/uploads/2025/10/13-VI-Ficha-BAUMAX-2025.pdf","Departamento: 56,22 m2 = 53,84 m2 (depto interior) + 2,38 m2 (1/2 sup. balcón)."
14,"Mini Condominio 3 Pisos (Baumax)","Baumax SPA","DS49/2011","Sistema constructivo en base a muros y losas de hormigón prefabricado. (Materialidad: Hormigón Armado)","hormigón","56,42","sin dato","3","(N) nacional","https://www.minvu.gob.cl/wp-content/uploads/2025/10/14-Ficha-Baumax-departamento-pequeno-condominio-2025.pdf","Superficie por departamento 56,42 m2 (pisos 1, 2 y 3); total 169,26 m2 + áreas comunes. 3 pisos (explícito)."
15,"Edificio 5 Pisos (Baumax)","Baumax SPA","DS49/2011","Sistema constructivo en base a muros y losas de hormigón prefabricado. (Materialidad: Hormigón Armado)","hormigón","57,80 a 58,07","sin dato","5","(N) nacional","https://www.minvu.gob.cl/wp-content/uploads/2025/10/15-Ficha-Baumax-departamento-5-pisos-alta-2025.pdf","Superficie por departamento en rango 57,80–58,07 m2. 5 pisos (explícito)."
16,"VIT Huechuraba I","Baumax SPA","DS49/2011","HORMIGON ARMADO ... DE ACERO GALVANIZADO EN TABIQUES","mixto","58.75","66.29","1","(N) nacional","https://www.minvu.gob.cl/wp-content/uploads/2025/10/16-Ficha-Vivienda-VIT-HUECHURABA-I-2025.pdf","Entidad Patrocinante: Mun. de Huechuraba con Sistema Baumax; Empresa Industrializadora: Baumax SPA. Materialidad mixta: hormigón armado + acero galvanizado en tabiques. Campo Superficie/m2: '58.75 base + 7.54 ampliación proyectada'. 1 piso (explícito)."
17,"Vivienda Tecno Fast T01","Tecno Fast S.A.","DS49/2011","Vivienda de estructura de madera de grado estructural, seca e impregnada contra termitas y humedad. Segura frente a incendios y sismos. (Materialidad: Madera, Marco Plataforma)","madera","50","sin dato","2","(N) nacional","https://www.minvu.gob.cl/wp-content/uploads/2025/10/17-Ficha-Vivienda-TECNOFASTA-T01-2025.pdf","La ampliada figura como '50,05 m2 BASE + 11,3 m2' sin total explícito, por eso ampliada = sin dato. pisos = Nivel 1 + Nivel 2."
18,"Vivienda Tecno Fast T03","Tecno Fast S.A.","DS49/2011","Vivienda de estructura de madera de grado estructural, seca e impregnada contra termitas y humedad. Segura frente a incendios y sismos. (Materialidad: Madera, Marco plataforma)","madera","60,04","sin dato","2","(N) nacional","https://www.minvu.gob.cl/wp-content/uploads/2025/10/18-Ficha-Vivienda-TECNOFASTA-2025.pdf","pisos = Nivel 1 + Nivel 2."
19,"VIT Urbana Pareada","Tecnopanel S.A.","DS49/2011","Vivienda de estructura de Paneles SIP.","panel SIP","52.57","63.71","sin dato","(N) nacional","https://www.minvu.gob.cl/wp-content/uploads/2025/10/19-Ficha-Vivienda-VIT-URABA-PAREADA-2025.pdf","Vivienda Unifamiliar Pareada."
20,"Vivienda Unifamiliar Aislada (Limari VIT)","Prefabricados Premium SpA","DS49/2011","Paneles y modulos estructura de madera de pino estructural.","madera","50.14","58.97","sin dato","(N) nacional","https://www.minvu.gob.cl/wp-content/uploads/2025/10/20-Ficha-Vivienda-VIT-LIMARI-2025.pdf",""
21,"VIT Limari (Unifamiliar Adosada)","Prefabricados Premium SpA","DS49/2011","Paneles y modulos estructura de madera de pino estructural. (Materialidad: Estructura de madera, revestimiento exterior placa fibrocemento)","madera","50.14","58.97","1","(N) nacional","https://www.minvu.gob.cl/wp-content/uploads/2025/10/21-Ficha-Vivienda-VIT-LIMARI-ADOSADA-2025.pdf","1 piso (adosada, explícito)."
22,"VIT DS49 PROMET (Unifamiliar)","Promet Servicios SPA","DS49/2011","Vivienda de estructura de acero y paneles prefabricados de Metalcon.","acero","55.6","64.15","sin dato","(N) nacional","https://www.minvu.gob.cl/wp-content/uploads/2025/10/22-Ficha-Vivienda-PROMET-2025.pdf",""
23,"VIT DS49 1 Piso PROMET","Promet Servicios SPA","DS49/2011","Vivienda de estructura de acero y paneles prefabricados de Metalcon.","acero","51.28","60.94","1","(N) nacional","https://www.minvu.gob.cl/wp-content/uploads/2025/10/23-Ficha-Vivienda-PROMET-1-PISO-2025.pdf","1 piso (explícito)."
24,"Vivienda Base Victoria (Modelo Victoria)","Canada House SPA","DS49/2011","Vivienda de estructura de madera de grado estructural, seca e impregnada contra termitas y humedad. Segura frente a incendios y sismos. (Materialidad: Marco Plataforma)","madera","52.28","63.03","sin dato","(N) nacional","https://www.minvu.gob.cl/wp-content/uploads/2025/10/24-Ficha-Vivienda-CANADA-HOUSE-2025.pdf",""
