n,slug,nombre_ficha,programa,industrializadora_oficio,desarrollada_por_portada,zonas_portada_literal,zonas_oficio_literal,sistema_zonas,higrotermico_literal,oficio_numero,oficio_fecha,res_ex_industrializadora_citada,codigo_aprobacion,direccion_en_ficha,pag_zonas_portada,pag_oficio,pag_direccion,observaciones
11,santa-magdalena-rural,"Vivienda Rural Santa Magdalena",DS10,"SANTA MAGDALENA SPA","Minvu y Santa Magdalena","A – B – C – D – E – F (de acuerdo con ORD N° 1422 del 31.08.2023)","A - B - C - D - E - F , de acuerdo a las condicionantes por zona, establecidas en las Especificaciones Técnicas y el documento ""Informe Cumplimiento Estándar Higrotérmico VIT RURAL SANTA MAGDALENA"" que forma parte integral del proyecto aprobado","letras A–I","Numeral 5: cumple las exigencias de comportamiento higrotérmico establecidas en los PDA correspondientes a las Zonas Térmicas indicadas en el numeral 1. El campo de zona cita además el 'Informe Cumplimiento Estándar Higrotérmico VIT RURAL SANTA MAGDALENA'","ORD N°1422","31 agosto 2023","RES EX N° 639 DE 15.03.2023","00 – DITEC –SANTA MAGDALENA SPA – 02 – 60,51","no declarado (distribución solo con correo)",1,"2–3",4,""
12,santa-magdalena-base,"Vivienda Base / Ampliada (Santa Magdalena)",DS49,"no declarado (oficio sin campo Empresa Industrializadora; dirigido a Constructora Santa Magdalena)","Minvu y Santa Magdalena","no declarado","A - B - C - D - E - F - G (según lo establecido en las Especificaciones Técnicas del proyecto)","letras A–I","Numeral 4: cumple las exigencias de comportamiento higrotérmico establecidas en los PDA correspondientes a las Zonas Térmicas indicadas en el numeral 1","ORD N°457","09 marzo 2023","no declarado","00 – DITEC – SANTA MAGDALENA – 01 – 50,63","no declarado (distribución solo con correo)",-,3,4,"Única ficha que llega a zona G."
13,baumax-depto-base,"Tipo Valle Verde (Sistema Baumax)",DS49,"no declarado (oficio sin campo Empresa Industrializadora; propietario Constructora Nova Unión SpA)","Sistema BAUMAX (portada)","no declarado","D","letras A–I","Numeral 5: cumple las exigencias de comportamiento higrotérmico establecidas en los PDA correspondientes a las Zonas Térmicas indicadas en el numeral 1. Numeral 6: el uso queda condicionado a la aprobación DITEC de las acreditaciones del Estándar Higrotérmico para Viviendas Industrializadas, previo al ingreso al Banco de Postulaciones","ORD N°810","03 mayo 2023","no declarado","00 – DITEC – NOVAUNIÓN – 01 – 56,22","Distribución: EMINDER@ALMAZARA.CL - ALFREDO BARROS ERRÁZURIZ 1960 PISO 10 - PROVIDENCIA (Constructora Nova Unión, no Baumax)",-,2,3,"Reemplaza y deroga ORD N°803 del 03.05.2023. La industrializadora no está nombrada en el oficio; la web del Minvu la lista como Baumax."
14,baumax-condominio-3p,"Mini Condominio 3 Pisos (Baumax)",DS49,"BAUMAX SPA","Minvu y Baumax SPA.","A – B – C – D","A-B-C-D","letras A–I","Cumple las exigencias de comportamiento higrotérmico establecidas en los PDA vigentes a la fecha, correspondientes a la Zona Térmica D, indicada en el numeral 1","ORD N°2105","06 diciembre 2023","RES EX N° 834 DE 21.04.2023","00 – DITEC – BAUMAX– 01 – 56.42","Distribución: AVDA. LA DEHESA 1822 OF. 403 LO BARNECHEA",1,2,3,"El PDA se acredita solo para la zona D aunque la aprobación es A-B-C-D."
15,baumax-edificio-5p,"Edificio 5 Pisos (Baumax)",DS49,"BAUMAX SPA","Minvu y Baumax SPA.","A – B – C – D – E – F","A-B-C-D-E-F","letras A–I","Numeral 5: cumple las exigencias de comportamiento higrotérmico establecidas en los PDA vigentes a la fecha, correspondientes a las Zonas Térmicas D, E y F","ORD N°2450","29 diciembre 2023","RES EX N° 834 DE 21.04.2023","00 – DITEC – BAUMAX– 02 – 57.80","Distribución: BAUMAX SPA AVDA. LA DEHESA 1822 OF. 403 LO BARNECHEA",1,2,3,""
16,huechuraba-i,"VIT Huechuraba I",DS49,"BAUMAX SPA","Entidad Patrocinante Mun. de Huechuraba con Sistema Baumax","D","MACRO ZONA D","letras A–I","no declarado","ORD N°248","17 febrero 2025","RES EX N° 834 DE 21.04.2023","00 – DITEC – EP MUNICIPALIDAD HUECHURABA - 01 - 58,75","Distribución: EP Municipalidad de Huechuraba, AVENIDA RECOLETA N5315 (no es la industrializadora)",1,2,4,"Propietario del proyecto: EP Municipalidad de Huechuraba."
17,tecnofast-t01,"Vivienda Tecno Fast T01",DS49,"TECNOFAST S.A.","Minvu y Tecno Fast S.A.","A – B – C – D – E","A-B-C-D-E","letras A–I","Numeral 5: cumple las exigencias de comportamiento higrotérmico establecidas en los PDA correspondientes a las Zonas Térmicas indicadas en el numeral 1","ORD N°545","28 febrero 2024","RES EX N° 1.092 DE 14.06.2023","00 – DITEC – TECNOFAST – 02 – 50,05","Distribución: DESTINATARIO - PANAMERICANA NORTE 17.000 COLINA","1 y 2",3,4,"Tabla descuadrada por pdftotext; valores leídos por posición."
18,tecnofast-t03,"Vivienda Tecno Fast T03",DS49,"TECNO FAST S.A.","Tecno Fast S.A.","A – B","A-B","letras A–I","no declarado","ORD N°2041","30 noviembre 2023","RES EX N° 1.092 DE 14.06.2023","15 – DITEC – TECNOFAST– 01 – 60.04","Distribución: DESTINATARIO- AVDA LA MONTAÑA 692 LAMPA - REGIÓN METROPOLITANA",1,2,3,"Entidad Revisora: SERVIU Región Arica y Parinacota (15); único código con prefijo regional 15."
19,urbana-pareada,"VIT Urbana Pareada",DS49,"TECNOTRUSS S. A","Minvu y Tecnopanel S.A.","A – B – C – D – E","MACRO ZONA A-B-C-D-E","letras A–I","no declarado","ORD N°507","16 abril 2025","Res. Ex. N° 1093 del 14 de Junio 2023","00 – DITEC – TECNOTRUSS S.A - 06 - 52,57","Distribución: RODRIGO PINTO SOTO. AVDA. JOSE SAN MARTIN SN. SITIO 98. LOTEO INDUSTRIAL LOS LIBERTADORES. COLINA","1 y 2",3,4,"Deroga ORD N°462 del 10.04.2025. Portada Tecnopanel S.A.; oficio Tecnotruss S.A."
20,limari-aislada,"Vivienda Unifamiliar Aislada (Limarí VIT)",DS49,"PREFABRICADOS PREMIUM SPA","Prefabricados Premium SpA.","B – C – D – E","MACRO ZONAS BCDE","letras A–I","no declarado (numeral 6 del ORD 2704 condiciona el uso a ensayos de permeabilidad al aire NCh 3296 de cada ventana)","ORD N°2704 (aprobación) y ORD N°251 (modifica código)","31 diciembre 2024 y 19 febrero 2025","RES EX N° 1657 DE 04.10.2023","00 – DITEC –PREFABRICADAS PREMIUM SPA – 01- 50,14 (ORD 251; el ORD 2704 decía 51,14)","Distribución ORD 251: DESTINATARIO - CUATRO ESQUINAS RUTA 5 - LA SERENA",1,"3–4 (ORD 2704) y 2 (ORD 251)","2 y 4",""
21,limari-adosada,"VIT Limarí (Unifamiliar Adosada)",DS49,"Prefabricados PREMIUM SpA","Prefabricados Premium SpA.","A – B – C – D – E","A -B-C-D-E","letras A–I","no declarado","ORD N°762","20 mayo 2025","Res. Ex. 1657 del 04.10.2023","00 – DITEC –PREFABRICADAS PREMIUM SPA – 02 - 50,14","Distribución: GERENTE GENERAL PREFABRICADOS PREMIUM SPA. FUNDO SANTA AMALIA 5A RUTA 43 PAN DE AZUCAR COQUIMBO",1,2,3,"La adosada llega a zona A; la aislada (ficha 20) parte en B."
22,promet-base,"VIT DS49 PROMET (Unifamiliar)",DS49,"PROMET SERVICIOS SPA","Promet Servicios SPA.","C – D","C-D","letras A–I","no declarado","ORD N°749 (complemento al ORD N°1006 del 26.04.2024)","19 mayo 2025","RES EX N° 679 DE 27.03.2023","00 – DITEC –PROMET – 03 – 55,56 (antes 01 – 58)","Distribución: SQUEZADA@PROMET.CL - AV. DEL VALLE SUR 650 OF 31 - HUECHURABA",1,2,3,"El ORD 1006 (aprobación original) no viene en el PDF."
23,promet-1piso,"VIT DS49 1 Piso PROMET",DS49,"PROMET SERVICIOS SPA","Promet Servicios SPA.","C – D","Zonas C-D","letras A–I","no declarado","ORD N°2575","17 diciembre 2024","RES EX N° 679 DE 27.03.2023","00 – DITEC –PROMET – 02 – 51,28","Distribución: GSTAGNO@PROMET.CL - AV. DEL VALLE SUR 650 OF 31 - HUECHURABA",1,2,3,""
24,canada-house,"Vivienda Base Victoria (Canada House)",DS49,"CANADA HOUSE SPA","Canada House SPA.","B – C – D – E","Macrozona B-C-D-E","letras A–I","no declarado","ORD N°424","31 marzo 2025","RES EX N° 764 DE 12.04.2023","00 – DITEC –CANADA HOUSE SPA – 01 – 52,28","Distribución: CANADA HOUSE SPA LAS QUILLAS 1535 TEMUCO REGIÓN DE LA ARAUCANÍA",1,2,3,"La Res. Ex. 764/2023 citada no aparece en la lista del Minvu, que consigna Res. Ex. N°1.702 de 13.11.2025 (registro 22)."
